"","OBJECTID","mun","semi_arido","newtipology","dens_mean","percent_medio_ab","IFDM_geral_2016","SNIS_G12A_2015","SNIS_G12B_2015","mediaciclo22","bioma_2014","grupo_SES_CRI_2014","ZK_incid_2016","ZK_incid_2017","ZK_incid_2018","ZK_incid_2019","chik_incid_2016","chik_incid_2017","chik_incid_2018","chik_incid_2019","dg_incid_2016","dg_incid_2017","dg_incid_2018","dg_incid_2019"
"190",190,"ITANHEM",0,1,14.74,100,"0.619055",20611,NA,4.75,3,"1",681.13,0,5.13,0,34.06,24.39,1035.95,20.61,180.01,58.53,97.44,139.14
"191",191,"ITAPARICA",0,5,192.68,100,"0.528479",22615,22615,1.75,5,"5",769.43,17.49,0,0,127.51,4.37,0,13.5,294.58,26.24,4.52,67.48
"192",192,"ITAPE",NA,3,22.12,100,"0.606271",10228,NA,1.25,3,"1",927.96,30.52,0,0,917.98,20.35,0,0,2045.5,71.21,11.1,11.41
"193",193,"ITAPEBI",NA,3,10.72,100,"0.57463",10882,NA,4.75,3,"1",1704.13,27.7,0,0,221.08,849.49,48.52,9.75,672.44,941.83,58.22,58.49
"194",194,"ITAPETINGA",0,5,46.56,61.42,"0.606053",76184,76184,0.5,3,"1",290.06,7.74,0,1.31,1283.8,5.16,0,1.31,2172.19,28.38,1.33,6.57
"195",195,"ITAPICURU",0,3,23.33,93.52,"0.408776",35987,NA,3.5,3,"1",22.03,0,0,5.62,399.23,11.05,0,8.43,2.75,5.52,0,67.46
"196",196,"ITAPITANGA",NA,1,25.67,100,"0.485167",10800,NA,3,3,"1",574.13,0,0,0,3407.72,9.26,0,0,1564.96,37.04,9.68,19.39
"197",197,"ITAQUARA",0,3,24.87,100,"0.448304",8519,8519,2.75,3,"1",409.02,0,0,0,NA,NA,NA,NA,0,0,0,0
"198",198,"ITARANTIM",0,5,12.07,89.04,"0.535447",20091,NA,4,3,"1",59.39,108.3,0,0,4.95,2988.09,0,0,0,59.07,0,0
"199",199,"ITATIM",0,1,27.2,100,"0.565422",14763,NA,4.5,3,"1",1423.3,20.06,6.93,6.9,33.57,6.69,0,0,40.28,0,0,41.42
"200",200,"ITIRUCU",0,1,41.24,100,"0.466525",13307,13307,3.25,3,"1",105.42,0,0,0,15.06,0,0,0,22.59,0,0,119.27
"201",201,"ITIUBA",1,3,22.72,94.53,"0.5492",38492,38492,2.25,3,"1",48,5.32,0,0,1893.33,5.32,5.55,5.54,56,26.62,5.55,543.1
"202",202,"ITORORO",0,5,67.53,98.83,"0.439493",21178,21178,2.5,3,"1",2131.07,37.66,0,0,94.3,9.42,0,0,3545.5,23.54,9.82,34.34
"203",203,"ITUACU",0,3,16.25,100,"0.500464",19406,19406,5.25,1,"1",769.47,10.22,0,0,15.39,5.11,0,0,30.78,56.19,15.88,0
"204",204,"ITUBERA",NA,1,70.46,86.13,"0.50565",29108,NA,1.5,1,"1",386.02,0,0,6.99,146.89,0,0,6.99,201.55,13.59,3.51,1192.22
"205",205,"IUIU",0,3,7.47,91.89,"0.551459",11331,NA,4.5,3,"1",475.1,8.77,0,0,466.3,0,0,0,475.1,8.77,0,136.44
